GENEID	chr1
BambuGene1	5
BambuGene10	9
BambuGene100	4
BambuGene106	2
BambuGene107	11
BambuGene117	51
BambuGene119	5
BambuGene132	8
BambuGene139	7
BambuGene14	6
BambuGene145	4
BambuGene150	2
BambuGene151	2
BambuGene153	2
BambuGene161	5
BambuGene168	13
BambuGene185	17
BambuGene195	14
BambuGene205	10
BambuGene214	4
BambuGene220	8
BambuGene229	3
BambuGene23	2
BambuGene230	15
BambuGene237	7
BambuGene255	9
BambuGene263	2
BambuGene264	2
BambuGene265	32
BambuGene273	4
BambuGene288	9
BambuGene308	6
BambuGene31	7
BambuGene312	10
BambuGene317	6
BambuGene319	27
BambuGene326	22
BambuGene327	11.99999
BambuGene334	7
BambuGene341	16
BambuGene360	17
BambuGene366	6
BambuGene373	2
BambuGene374	27
BambuGene378	5
BambuGene384	38
BambuGene397	9
BambuGene40	2
BambuGene401	3
BambuGene409	36
BambuGene41	17
BambuGene417	4
BambuGene424	5
BambuGene425	32.99999
BambuGene439	7
BambuGene444	5
BambuGene445	4
BambuGene450	3
BambuGene457	10
BambuGene464	6
BambuGene468	2
BambuGene469	11
BambuGene475	2
BambuGene476	8
BambuGene484	8
BambuGene485	3
BambuGene496	4
BambuGene5	12
BambuGene50	8
BambuGene506	9
BambuGene520	4
BambuGene521	14
BambuGene528	5
BambuGene532	17
BambuGene545	3
BambuGene546	7
BambuGene559	2
BambuGene560	2
BambuGene561	6
BambuGene564	7
BambuGene565	10
BambuGene567	5
BambuGene568	2
BambuGene569	2
BambuGene570	17
BambuGene571	12
BambuGene572	2
BambuGene573	5
BambuGene575	2
BambuGene576	12
BambuGene577	2
BambuGene578	2
BambuGene579	4
BambuGene580	3
BambuGene581	9
BambuGene582	2
BambuGene583	2
BambuGene584	8
BambuGene586	2
BambuGene587	6
BambuGene588	5
BambuGene589	3
BambuGene590	5
BambuGene592	2
BambuGene593	3
BambuGene594	34
BambuGene595	12
BambuGene596	3
BambuGene597	3
BambuGene61	5
BambuGene69	6
BambuGene72	10
BambuGene79	24
BambuGene84	9
BambuGene86	4
BambuGene95	19
ENSG00000000457.14	0
ENSG00000000460.17	1
ENSG00000000938.13	0
ENSG00000000971.17	0
ENSG00000001460.18	1
ENSG00000001461.18	0
ENSG00000004455.18	5
ENSG00000004487.18	4
ENSG00000006555.11	0
ENSG00000007341.19	0
ENSG00000007908.16	0
ENSG00000007923.17	5
ENSG00000007933.13	0
ENSG00000007968.7	0
ENSG00000008118.10	0
ENSG00000008128.23	0
ENSG00000008130.15	1
ENSG00000009307.17	12
ENSG00000009709.13	0
ENSG00000009724.18	9
ENSG00000009780.16	0
ENSG00000009790.15	0
ENSG00000010072.16	0
ENSG00000010165.20	2
ENSG00000010803.17	0
ENSG00000010932.17	0
ENSG00000011007.13	1
ENSG00000011009.12	14
ENSG00000011021.23	0
ENSG00000014914.21	0
ENSG00000016490.16	0
ENSG00000016602.9	0
ENSG00000018625.15	0
ENSG00000020129.16	2
ENSG00000020633.19	0
ENSG00000021852.14	0
ENSG00000023572.10	0
ENSG00000023902.14	1
ENSG00000023909.10	2
ENSG00000024526.17	1
ENSG00000025800.14	3
ENSG00000026751.17	0
ENSG00000027644.5	0
ENSG00000027869.13	0
ENSG00000028137.19	0
ENSG00000031698.13	9
ENSG00000033122.21	0
ENSG00000034971.17	0
